# CBSE 2026-27 subject syllabus PDFs read for prescribed NCERT books (English/Hindi/Sanskrit/Urdu + all non-skill academic subjects)
band	group	name	url	status	bytes	sha256	fetchedAt
IX	Languages	English	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/English_LL_SecP1IX_2026-27.pdf	200	851449	bc533abf3af07ceae60ad94790f975ac6458b4d86554cb311f37ad3463e9aa18	2026-09-25T23:30:46+05:30
IX	Languages	Hindi	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/Hindi_SecP1IX_2026-27.pdf	200	534900	cdcc2a4a06a7023c1126d3043732af2788a19751cf3b4ccd62e85b23fa8fd528	2026-09-25T23:30:46+05:30
IX	Languages	Sanskrit	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/Sanskrit_SecP1IX_2026-27.pdf	200	230063	76440b45e36c2723da473808017a75f98579d448b8487bef853ba4e054a6ca03	2026-09-25T23:30:46+05:30
IX	Languages	Urdu	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/Urdu_SecP1IX_2026-27.pdf	200	5512682	71f9b9c83a195d2a5c66c0d4da74cbe2c4447e464175f666e89be9ac9ae08103	2026-09-25T23:30:47+05:30
IX	Main Subjects	Mathematics	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/Maths_SecP1IX_2026-27.pdf	200	572533	932ea66d6fbfcefce8182f28ab921c886187f5dea674321088b5c7230bbe6c32	2026-09-25T23:30:47+05:30
IX	Main Subjects	Mathematics at Advanced Level	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/MathsAd_SecP1_2026-27.pdf	200	7486797	24cb27010ff2c13832c58b3aaf4213537148a7396812982e34cb752e0a718cb4	2026-09-25T23:30:48+05:30
IX	Main Subjects	Science	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/ScienceSt_SecP1_2026-27.pdf	200	378470	ab19589aede5ad8b0b2f87964914c1a55a987f39032903871baa973c02ed6e24	2026-09-25T23:30:47+05:30
IX	Main Subjects	Science at Advanced Level	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/ScienceAd_SecP1_2026-27.pdf	200	2584087	2f78065cf205139edc9423d4374848c0da999d89fb0f6798261b7c4b43ff8c3f	2026-09-25T23:30:49+05:30
IX	Main Subjects	Social Science	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/SocialScience_SecP1IX_2026-27.pdf	200	332616	c81d9237b8e74d462e57776e162d534ff04feff27ed72eb236621361a9061735	2026-09-25T23:30:48+05:30
IX	Main Subjects	Interdisciplinary Area	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/InterdisAreas_SecP1_2026-27.pdf	404			
IX	Main Subjects	Vocational Education (Kaushal Vikas)	https://cbseacademic.nic.in/web_material/Curriculum27/publication/secondary/Vocational_Education_(Kaushal_Vikas).pdf	200	1051941	3f79c9913f9f224a5989c89c3ebb3ea7f06fea407363ba531b411779e910c7e8	2026-09-25T23:30:48+05:30
IX	Main Subjects	Computational Thinking & AI	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/CTAI_SecP1_2026-27.pdf	404			
IX	Main Subjects	Physical Education & Well Being	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/PEWB_SecP1_2026-27.pdf	200	426456	9703fb3905379ef932fa50e1f32c63504eea3ffc1ee26f8c63fe3a4ae22deb10	2026-09-25T23:30:48+05:30
IX	Main Subjects	Art Education	https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/Art_Education_SecP1IX_2026-27.pdf	200	229048	3a13be05dd6f78f8298d89d133337a25d4202d0007791d1b1657d6e46d4256e4	2026-09-25T23:30:48+05:30
