# chapter PDFs downloaded 26 Sep 2026 for chapters with includes (pieces printed inside the chapter PDF) and chapters whose title was corrected: item=title → result exact (pages 1-2 print the whole title as the heading) / contained (words present, not the whole heading) / no (image heading); item=include → the PDF pages whose text carries that piece's title
code	pdfSeq	url	status	bytes	sha256	fetchedAt	item	text	result	pages
cesa1	11	https://ncert.nic.in/textbook/pdf/cesa111.pdf	200	2342338	2de04e20602be925abd1ce0a92f59b5ee110a161ac799021a7d97a9747d0e6f7	2026-09-26T00:34:53+05:30	title	Chanda Mama Counts the Stars	exact	
fepr1	1	https://ncert.nic.in/textbook/pdf/fepr101.pdf	200	14040235	256fda6b053cda4dbc836dcbd88e984d1f4d9f04849c8465129506cc2a162ddb	2026-09-26T00:34:33+05:30	title	Fables and Folk Tales	exact	
fepr1	1	https://ncert.nic.in/textbook/pdf/fepr101.pdf	200	14040235	256fda6b053cda4dbc836dcbd88e984d1f4d9f04849c8465129506cc2a162ddb	2026-09-26T00:34:33+05:30	include	A Bottle of Dew	found	1,12,36
fepr1	1	https://ncert.nic.in/textbook/pdf/fepr101.pdf	200	14040235	256fda6b053cda4dbc836dcbd88e984d1f4d9f04849c8465129506cc2a162ddb	2026-09-26T00:34:33+05:30	include	The Raven and the Fox	found	13,14,37
fepr1	1	https://ncert.nic.in/textbook/pdf/fepr101.pdf	200	14040235	256fda6b053cda4dbc836dcbd88e984d1f4d9f04849c8465129506cc2a162ddb	2026-09-26T00:34:33+05:30	include	Rama to the Rescue	found	20,26,38
fepr1	2	https://ncert.nic.in/textbook/pdf/fepr102.pdf	200	12342631	c4f0906c5fdb055f6e8309197e19128e651f845ce8dd0f7e86eb34df98e79608	2026-09-26T00:34:30+05:30	title	Friendship	exact	
fepr1	2	https://ncert.nic.in/textbook/pdf/fepr102.pdf	200	12342631	c4f0906c5fdb055f6e8309197e19128e651f845ce8dd0f7e86eb34df98e79608	2026-09-26T00:34:30+05:30	include	The Unlikely Best Friends	found	1,31,33
fepr1	2	https://ncert.nic.in/textbook/pdf/fepr102.pdf	200	12342631	c4f0906c5fdb055f6e8309197e19128e651f845ce8dd0f7e86eb34df98e79608	2026-09-26T00:34:30+05:30	include	A Friend’s Prayer	found	14,31,34
fepr1	2	https://ncert.nic.in/textbook/pdf/fepr102.pdf	200	12342631	c4f0906c5fdb055f6e8309197e19128e651f845ce8dd0f7e86eb34df98e79608	2026-09-26T00:34:30+05:30	include	The Chair	found	21,24,26,27,28,35
fepr1	3	https://ncert.nic.in/textbook/pdf/fepr103.pdf	200	9782731	3fc967ff357914eeccfcc8d1d41b672bed36a48b123fc6ab7942ca90a74cdb03	2026-09-26T00:34:35+05:30	title	Nurturing Nature	exact	
fepr1	3	https://ncert.nic.in/textbook/pdf/fepr103.pdf	200	9782731	3fc967ff357914eeccfcc8d1d41b672bed36a48b123fc6ab7942ca90a74cdb03	2026-09-26T00:34:35+05:30	include	Neem Baba	found	1,2,3,4,5,6,9,10
fepr1	3	https://ncert.nic.in/textbook/pdf/fepr103.pdf	200	9782731	3fc967ff357914eeccfcc8d1d41b672bed36a48b123fc6ab7942ca90a74cdb03	2026-09-26T00:34:35+05:30	include	What a Bird Thought	found	11,28
fepr1	3	https://ncert.nic.in/textbook/pdf/fepr103.pdf	200	9782731	3fc967ff357914eeccfcc8d1d41b672bed36a48b123fc6ab7942ca90a74cdb03	2026-09-26T00:34:35+05:30	include	Spices that Heal Us	found	19,28
fepr1	4	https://ncert.nic.in/textbook/pdf/fepr104.pdf	200	5811425	86cc9ae841d18d011fd177e8640eed96970a18bb76fe467e2be3c0ad339a9849	2026-09-26T00:34:32+05:30	title	Sports and Wellness	exact	
fepr1	4	https://ncert.nic.in/textbook/pdf/fepr104.pdf	200	5811425	86cc9ae841d18d011fd177e8640eed96970a18bb76fe467e2be3c0ad339a9849	2026-09-26T00:34:32+05:30	include	Change of Heart	found	1,7,26
fepr1	4	https://ncert.nic.in/textbook/pdf/fepr104.pdf	200	5811425	86cc9ae841d18d011fd177e8640eed96970a18bb76fe467e2be3c0ad339a9849	2026-09-26T00:34:32+05:30	include	The Winner	found	13,16
fepr1	4	https://ncert.nic.in/textbook/pdf/fepr104.pdf	200	5811425	86cc9ae841d18d011fd177e8640eed96970a18bb76fe467e2be3c0ad339a9849	2026-09-26T00:34:32+05:30	include	Yoga—A Way of Life	found	20,27
fepr1	5	https://ncert.nic.in/textbook/pdf/fepr105.pdf	200	9571559	3d58845dbed7a3721a11602ff63c06b5b299aafe75b57d60072aa232ef013b46	2026-09-26T00:34:35+05:30	title	Culture and Tradition	exact	
fepr1	5	https://ncert.nic.in/textbook/pdf/fepr105.pdf	200	9571559	3d58845dbed7a3721a11602ff63c06b5b299aafe75b57d60072aa232ef013b46	2026-09-26T00:34:35+05:30	include	Hamara Bharat—Incredible India!	found	1
fepr1	5	https://ncert.nic.in/textbook/pdf/fepr105.pdf	200	9571559	3d58845dbed7a3721a11602ff63c06b5b299aafe75b57d60072aa232ef013b46	2026-09-26T00:34:35+05:30	include	The Kites	found	11,12,13,14,15,17,18,19,33
fepr1	5	https://ncert.nic.in/textbook/pdf/fepr105.pdf	200	9571559	3d58845dbed7a3721a11602ff63c06b5b299aafe75b57d60072aa232ef013b46	2026-09-26T00:34:35+05:30	include	Ila Sachani: Embroidering Dreams with her Feet	found	21,34
fepr1	5	https://ncert.nic.in/textbook/pdf/fepr105.pdf	200	9571559	3d58845dbed7a3721a11602ff63c06b5b299aafe75b57d60072aa232ef013b46	2026-09-26T00:34:35+05:30	include	National War Memorial	found	30,31
fees1	11	https://ncert.nic.in/textbook/pdf/fees111.pdf	200	8118760	61d0eaa6113cc92c0d49711e79d6d40cdc6a3d5918330eb5ba30abbcb0b3d569	2026-09-26T00:34:50+05:30	title	Grassroots Democracy — Part 2: Local Government in Rural Areas	exact	
fees1	12	https://ncert.nic.in/textbook/pdf/fees112.pdf	200	11464809	e9607dcbe334b80c3584e062596972ea9cee1697fab48d5e1bc2ff3fef5edf77	2026-09-26T00:34:53+05:30	title	Grassroots Democracy — Part 3: Local Government in Urban Areas	exact	
gepr1	1	https://ncert.nic.in/textbook/pdf/gepr101.pdf	200	17923438	3e8ea91a79cdde47f3da0cb4cd87e10675c28f3d901f740f0aa8384c0b9656c0	2026-09-26T00:34:36+05:30	title	Learning Together	exact	
gepr1	1	https://ncert.nic.in/textbook/pdf/gepr101.pdf	200	17923438	3e8ea91a79cdde47f3da0cb4cd87e10675c28f3d901f740f0aa8384c0b9656c0	2026-09-26T00:34:36+05:30	include	The Day the River Spoke	found	1,6,39
gepr1	1	https://ncert.nic.in/textbook/pdf/gepr101.pdf	200	17923438	3e8ea91a79cdde47f3da0cb4cd87e10675c28f3d901f740f0aa8384c0b9656c0	2026-09-26T00:34:36+05:30	include	Try Again	found	16,40,41
gepr1	1	https://ncert.nic.in/textbook/pdf/gepr101.pdf	200	17923438	3e8ea91a79cdde47f3da0cb4cd87e10675c28f3d901f740f0aa8384c0b9656c0	2026-09-26T00:34:36+05:30	include	Three Days to See	found	28,41
gepr1	2	https://ncert.nic.in/textbook/pdf/gepr102.pdf	200	19017415	c2ca48089bc2b3c65bc9b79ff04750c120be10cc6080654a2dc4a977517a3477	2026-09-26T00:34:39+05:30	title	Wit and Humour	exact	
gepr1	2	https://ncert.nic.in/textbook/pdf/gepr102.pdf	200	19017415	c2ca48089bc2b3c65bc9b79ff04750c120be10cc6080654a2dc4a977517a3477	2026-09-26T00:34:39+05:30	include	Animals, Birds, and Dr. Dolittle	found	1,46
gepr1	2	https://ncert.nic.in/textbook/pdf/gepr102.pdf	200	19017415	c2ca48089bc2b3c65bc9b79ff04750c120be10cc6080654a2dc4a977517a3477	2026-09-26T00:34:39+05:30	include	A Funny Man	found	17,46
gepr1	2	https://ncert.nic.in/textbook/pdf/gepr102.pdf	200	19017415	c2ca48089bc2b3c65bc9b79ff04750c120be10cc6080654a2dc4a977517a3477	2026-09-26T00:34:39+05:30	include	Say the Right Thing	found	28,29,30,35,42,44,47
gepr1	3	https://ncert.nic.in/textbook/pdf/gepr103.pdf	200	19127215	173f4029ef9b911a0ba3114e35a0cb8e969da079102c3c376dc2a66b40945a78	2026-09-26T00:34:42+05:30	title	Dreams and Discoveries	exact	
gepr1	3	https://ncert.nic.in/textbook/pdf/gepr103.pdf	200	19127215	173f4029ef9b911a0ba3114e35a0cb8e969da079102c3c376dc2a66b40945a78	2026-09-26T00:34:42+05:30	include	My Brother’s Great Invention	found	1
gepr1	3	https://ncert.nic.in/textbook/pdf/gepr103.pdf	200	19127215	173f4029ef9b911a0ba3114e35a0cb8e969da079102c3c376dc2a66b40945a78	2026-09-26T00:34:42+05:30	include	Paper Boats	found	19,20,21,22,23,27,47
gepr1	3	https://ncert.nic.in/textbook/pdf/gepr103.pdf	200	19127215	173f4029ef9b911a0ba3114e35a0cb8e969da079102c3c376dc2a66b40945a78	2026-09-26T00:34:42+05:30	include	North, South, East, West	found	28,35,48
gepr1	4	https://ncert.nic.in/textbook/pdf/gepr104.pdf	200	14069517	510a25e15c35222fb3840d9b9579d80316ef7a716cb9ecfeb2308bf762816d5a	2026-09-26T00:34:42+05:30	title	Travel and Adventure	exact	
gepr1	4	https://ncert.nic.in/textbook/pdf/gepr104.pdf	200	14069517	510a25e15c35222fb3840d9b9579d80316ef7a716cb9ecfeb2308bf762816d5a	2026-09-26T00:34:42+05:30	include	The Tunnel	found	1,2,3,4,5,6,7,8,9,10,11,12,14
gepr1	4	https://ncert.nic.in/textbook/pdf/gepr104.pdf	200	14069517	510a25e15c35222fb3840d9b9579d80316ef7a716cb9ecfeb2308bf762816d5a	2026-09-26T00:34:42+05:30	include	Travel	found	1,3,5,7,9,10,11,13,15,17,19,21,22,23,25,26,27,29,31,33,34,35,37,39
gepr1	4	https://ncert.nic.in/textbook/pdf/gepr104.pdf	200	14069517	510a25e15c35222fb3840d9b9579d80316ef7a716cb9ecfeb2308bf762816d5a	2026-09-26T00:34:42+05:30	include	Conquering the Summit	found	28,39
gepr1	5	https://ncert.nic.in/textbook/pdf/gepr105.pdf	200	18413716	000f001705207ccc74b987dfe157d4b539a134e5ffc29032296441d6f36d86a0	2026-09-26T00:34:44+05:30	title	Bravehearts	exact	
gepr1	5	https://ncert.nic.in/textbook/pdf/gepr105.pdf	200	18413716	000f001705207ccc74b987dfe157d4b539a134e5ffc29032296441d6f36d86a0	2026-09-26T00:34:44+05:30	include	A Homage to Our Brave Soldiers	found	1,15
gepr1	5	https://ncert.nic.in/textbook/pdf/gepr105.pdf	200	18413716	000f001705207ccc74b987dfe157d4b539a134e5ffc29032296441d6f36d86a0	2026-09-26T00:34:44+05:30	include	My Dear Soldiers	found	21,26,46
gepr1	5	https://ncert.nic.in/textbook/pdf/gepr105.pdf	200	18413716	000f001705207ccc74b987dfe157d4b539a134e5ffc29032296441d6f36d86a0	2026-09-26T00:34:44+05:30	include	Rani Abbakka	found	28,36,37,39,43,46
hepr1	1	https://ncert.nic.in/textbook/pdf/hepr101.pdf	200	10594080	5075bd97c3015e9c6d83dffdcbea28fd48149ceb1ae345b5e8c1e961ab92fef7	2026-09-26T00:34:44+05:30	title	Wit and Wisdom	exact	
hepr1	1	https://ncert.nic.in/textbook/pdf/hepr101.pdf	200	10594080	5075bd97c3015e9c6d83dffdcbea28fd48149ceb1ae345b5e8c1e961ab92fef7	2026-09-26T00:34:44+05:30	include	The Wit that Won Hearts	found	1,46
hepr1	1	https://ncert.nic.in/textbook/pdf/hepr101.pdf	200	10594080	5075bd97c3015e9c6d83dffdcbea28fd48149ceb1ae345b5e8c1e961ab92fef7	2026-09-26T00:34:44+05:30	include	A Concrete Example	found	17,20,47
hepr1	1	https://ncert.nic.in/textbook/pdf/hepr101.pdf	200	10594080	5075bd97c3015e9c6d83dffdcbea28fd48149ceb1ae345b5e8c1e961ab92fef7	2026-09-26T00:34:44+05:30	include	Wisdom Paves the Way	found	27,45,48
hepr1	2	https://ncert.nic.in/textbook/pdf/hepr102.pdf	200	12025465	2e5ec55b2d8d317c0921309e1f16e1975c012c4d288bcc7fa1aeba42a34c3874	2026-09-26T00:34:45+05:30	title	Values and Dispositions	exact	
hepr1	2	https://ncert.nic.in/textbook/pdf/hepr102.pdf	200	12025465	2e5ec55b2d8d317c0921309e1f16e1975c012c4d288bcc7fa1aeba42a34c3874	2026-09-26T00:34:45+05:30	include	A Tale of Valour: Major Somnath Sharma and the Battle of Badgam	found	1,50
hepr1	2	https://ncert.nic.in/textbook/pdf/hepr102.pdf	200	12025465	2e5ec55b2d8d317c0921309e1f16e1975c012c4d288bcc7fa1aeba42a34c3874	2026-09-26T00:34:45+05:30	include	Somebody’s Mother	found	22,24,26,51
hepr1	2	https://ncert.nic.in/textbook/pdf/hepr102.pdf	200	12025465	2e5ec55b2d8d317c0921309e1f16e1975c012c4d288bcc7fa1aeba42a34c3874	2026-09-26T00:34:45+05:30	include	Verghese Kurien— I Too Had A Dream	found	34,52
hepr1	3	https://ncert.nic.in/textbook/pdf/hepr103.pdf	200	15028159	9eaddd2923bed925f66b76a59b1c49dbc4833bb768dae7bf05d3896ec4fef1bd	2026-09-26T00:34:48+05:30	title	Mystery and Magic	exact	
hepr1	3	https://ncert.nic.in/textbook/pdf/hepr103.pdf	200	15028159	9eaddd2923bed925f66b76a59b1c49dbc4833bb768dae7bf05d3896ec4fef1bd	2026-09-26T00:34:48+05:30	include	The Case of the Fifth Word	found	1,51
hepr1	3	https://ncert.nic.in/textbook/pdf/hepr103.pdf	200	15028159	9eaddd2923bed925f66b76a59b1c49dbc4833bb768dae7bf05d3896ec4fef1bd	2026-09-26T00:34:48+05:30	include	The Magic Brush of Dreams	found	22,24,52
hepr1	3	https://ncert.nic.in/textbook/pdf/hepr103.pdf	200	15028159	9eaddd2923bed925f66b76a59b1c49dbc4833bb768dae7bf05d3896ec4fef1bd	2026-09-26T00:34:48+05:30	include	Spectacular Wonders	found	37,53
